name_type,table_name,target_count
nearest_title,2 未分配項目主要包括(i)以股份為基礎的薪酬開支;(ii)收購產生的無形資產攤銷;(iii)按公允價值計量且其變動計入當期損益的其他金融投資之公允價值變動;(iv)其他收益/(虧損)淨額的若干項目;及(v)若干公司行政支出及其他項目。未分配項目不分配至各分部。,1
nearest_title,2) 報告分部,1
nearest_title,2. 收入及分部資料,1
nearest_title,2. 收益,1
nearest_title,2. 營業收入、營業成本的分解信息,1
nearest_title,2. 經營分部資料(續),1
nearest_title,2025年度報告分部,1
nearest_title,"2025年集團總營業收入達成人民幣3,082.3億元,較2024年同期增長8.37%。營業收入按行業、按經營分部及按地理區域劃分的明細列示如下。各項主要業務的發展情況請詳見本章節的「公司業務發展情況」小節。",1
nearest_title,2、报告分部的财务信息,1
nearest_title,2、营业收入、营业成本按板块,1
nearest_title,3 分部分析(續),1
nearest_title,3 收入,1
nearest_title,3 收益及分部資料,1
nearest_title,3. 報告分部的財務信息,1
nearest_title,3. 收益及分部資料,1
nearest_title,3. 營運分類資料(續),1
nearest_title,3. 經營分部資料(續),1
nearest_title,3. 經營分類資料(續),1
nearest_title,3.1 本集團之收益及按分部及地理位置劃分收益分析如下:,1
nearest_title,3A. 來自客户合約收益的分拆:,1
nearest_title,4 營業收入,1
nearest_title,4 經營分部資料(續),1
nearest_title,4. 收入及分部報告,1
nearest_title,4. 收益、其他收入、其他虧損及分部資料,1
nearest_title,4. 淨收益,1
nearest_title,4. 營業收入、營業成本,1
nearest_title,4. 營業額,1
nearest_title,4.1 拆分來自與客户合約的收入,1
nearest_title,4.1. 本集團的收入分析如下:,1
nearest_title,42 分部分析(續),1
nearest_title,44. 分部報告(續),1
nearest_title,45. 分部報告(續),1
nearest_title,47. 營業收入、成本,1
nearest_title,5 客户合約收益,1
nearest_title,5 收入,1
nearest_title,5 收入及分部資料,1
nearest_title,5 收益及分部資料,1
nearest_title,5. 收入、其他收入及收益,1
nearest_title,5. 收入及分部資料,1
nearest_title,5. 收益,1
nearest_title,5. 經營分部資料(續),1
nearest_title,6 收入,1
nearest_title,6 收益及分部資料(續),1
nearest_title,7. 收入,1
nearest_title,70. 分部報告(續),1
nearest_title,"An analysis of revenue and other gains or losses, net is as follows:",1
nearest_title,B. 客户合約產生的收入與分部資料所披露金額之間的對賬載列如下,1
nearest_title,Christensen China Limited,1
nearest_title,Disaggregation of revenue from contracts with customers by major products is as follows:,1
nearest_title,Disaggregation of revenue from contracts with customers by major service lines is as follows:,1
nearest_title,"For the year ended 31 December 2025, the Group generated revenue of USD14.7 million, representing an increase of around \(5.3\%\) compared with 2024. The increase in revenue is mainly attributable to the rise of the revenue of intelligent sense. The following table shows revenue breakdown by business segments:",1
nearest_title,"For the year ended December 31, 2025, our principal revenue was generated from pre-clinical research services (which include gene editing, pre-clinical pharmacology and efficacy evaluation and animal models selling) and antibody development business. The following table sets forth a breakdown of our revenue for the periods indicated:",1
nearest_title,"The following table sets forth an analysis of revenue by products and by sales regions for the years and periods indicated, presented in both absolute amounts and as percentages of total revenue.",1
nearest_title,a) 收益(亦為本集團的營業額)指來自土方工程及配套服務、一般建築工程及物業投資的收益。於相關年度內來自主要業務的已確認收益如下:,1
nearest_title,b. 其他業務,1
nearest_title,b. 收入分項,1
nearest_title,c. 内部分部收入之分析,1
nearest_title,ii) 按產品分類銷售額,1
nearest_title,"《國際財務報告準則》第8號-「經營分部」規定,經營分部將以主要營運決策者定期審閱的有關本集團組成部分的內部報告作為基礎識別,以供分配資源予各分部及評估其業績。就資源分配及業績評估而言,向本公司的董事(主要營運決策者)匯報的資料側重於《國際財務報告會計準則》整體呈報的本集團財務業績。向主要營運決策者提供的其他信息還包括以下本集團的收入明細:",1
nearest_title,"「在中國境外業務方面,我們的Legacy-DH分部於2025年的平均可出租客房收入同比增長8.2%。展望2026年,我們將繼續提升酒店運營表現,專注降本增效,優化資產結構,並進一步完善我們核心品牌的定位及價值主張。」",1
nearest_title,三項呈報分部的主要業務如下:,1
nearest_title,下列各項貢獻的收入,1
nearest_title,下列為向本公司執行董事提供截至2025年及2024年12月31日止年度申報分部的分部資料:,1
nearest_title,下列為按營運及可報告分部劃分的本集團收入及業績分析:,1
nearest_title,下文為來自本集團主要產品及服務的收入之分析:,1
